Esquema Terapêutico,Frequência
4AT/4T,6
TRASTUZU/MTX,6
CICLO+DOCETAXE,6
CICLOFO+DOXORU,6
PACLITAAXEL,6
CARBO+HERC+DOCE,6
AC +DT,6
5FU +CTX,6
TXT/AC-T,6
HERCEPTIM+TAXOL,6
AC+TAXAOL,6
TXT HERCEPTIN,6
PACLI-ADRIA,6
AT/TXT,6
PACIT,6
TAX+CARB+AC+GRA,6
CD T,6
DOCE/CICLO/HERC,6
CAPECITAB HERCE,6
Taxol+Ac,6
"GEMZAR, CICLOSF",6
DOCET+CARBO+HER,6
CARBO+PACLI/AC,6
AC/D-H,6
ACU TAXOL,6
4AC-12TV,6
TAXOL/HERC/NILO,6
AE-T,6
DOCE/ERJETAHERC,6
AC/TAXOL/CARBOP,6
TRASTU/EPIRRUBI,6
ADRI+CICLO+TAXO,6
TXT/IFO// MESN,6
CISPLATINA/DOC,6
TAXOL/TAC/AC,6
HERCEPTIN 360MG,6
A/CT,6
ACT(DOXO+CICLO+,6
ACT (DOXO+CICLO,6
"GEMZAR,NAVELBIN",6
PACC,6
PACLI/ZOMETA,6
N,6
ACT+-H,6
DCT/TRASTU,6
ac /txt,6
AC+ HRCEPTIN,6
DOXORRUBICINA50,6
PTX +ACA,6
TRASTU+TAXO,6
EC TX,6
CARBOPT+PACTX,6
4AX/AT,6
CICLOFOSF/DOXOR,6
AC+TX+T,6
AC-HECPTIN,6
GENZAR/CISPL,6
PT-FAC,6
ADM/PCT,6
AC +DOCT,6
XELODA+ZOMET,6
"TRAZTUZUMABE, C",6
PERJETA/DOC/HT,6
HERCEPTIN + ZOM,6
"GENUXAL,ADRIA",6
trxol,6
SEI-CICLOFOSF,6
TXT-E,6
TAXOL+CARBO+GRA,6
AC-T+ GRACULOK,6
DOCE+CARBO+HER,6
HERCEPTIN+TXT,6
HERCPTIN+ACT,6
FULV,6
TRASTU/DOCE/CTX,6
DC-T,6
"PACITAXEL,CARBO",6
DOCE\HERCEPTIN,6
ACT 8CICLOS,6
NOVALDEX HERCEP,6
ACT 08CICLOS,6
AC GRANULOKINE,6
GZ/TAXOL,6
FAC/AREDIA,6
AC +DOCE,6
CDDP+ genzar,6
Ac T,6
DOCEL,6
P/D,6
HERCEPTIN + TAX,6
TXT ADJUVANTE,6
DORRUBICINA+CIC,6
DOCE/TAXOTERE,6
ac-heceptin,6
ACA T,6
CILCO+DOCE+FILG,6
CICLOFOFAMI+DOX,6
"DOCET,TRASTUZUM",6
ac _>txt,6
EPI+CDDP,6
p,6
CICLOF/DOXO/PAC,6
CARBOPLAT+TAXOL,6
GENZA+DOCETAXEL,6
DOCET.HERC.GRAN,6
"AC +DCT,",6
"ADM +CTX,",6
DOCETAXELGRANUL,6
AC/TAXOL.,6
TRASTUZU/NVB,6
"FLUOROACIL,",6
FEC/HERCE,6
DOCE/CRBOHERCEP,6
CARBO+ PALI,6
HERCE+TAXOL,6
TRANSTUMABE/PAC,6
TRANSTU+AC,6
AC-CARBO+TAXOL,6
TCH +FILGRASTI,6
DOXO/ICLOPACL,6
CTX/TAXOTERE,6
ADRIAMICINA / C,6
AC txt,6
AC +T h?,6
AC SEGUIDO DOCE,6
PL,6
DOCETAXEL + FEC,6
"AC,HERCEPTIN,",6
"AC /TAXOL,FILG",6
"ARIMIDEX,HERCEP",6
PACLETAXEL,6
TRAS/CAR/TAXOTE,6
ASCT,6
AC- PACETAXEL,6
TAXOL160MG,6
TAXOLHERCEPNTIN,6
CICLO+DOX+5FU,6
ac/cilo,6
ac tc,6
AC-TG,6
CICLO+ DOXORR,6
ciclo/doxo/pacl,6
PACLI+ TRASTUZ,6
AC -DOCE,6
AC- TXT + H,6
FAC +TAXOTERE,6
ac +TXt,6
CT -H?,6
AC/TxT/Hercepti,6
TMF+HERCEPTIN,6
trastuzumabe+Ci,6
aC-TXT,6
HERC+TAMOX,6
AC +TXT H,6
AC +T + HERCEP,6
CICLO+DOXO+FU,6
ciclo+ doxo+ pa,6
ACC TX,6
ADRIA+GEN,6
Z,6
FAC+41,6
DOXETACEL,6
AC-+T,6
AC¿-T,6
TAXOTERE A,6
A.C+T,6
4AC+UT,6
TAXOTE/TRASTUZU,6
AC/DOXOR/FILGRA,6
PACLITAVEL,6
"EPIRRUBUCINA, 5",6
AC /LO,6
CICLOF+PCT,6
FEC>TAXOL,6
4TC,6
CPM+DOX+DOCETAX,6
HORMONIOTERAPIA,6
AC/DT,6
CICLO/FLUOR/FAR,6
TRASTUZ/TAXOL,6
DOCETA/CICLO,6
CARBO+DOXO,6
DOCE+GENUXAL,6
AANASTROZOL,6
ACTH+zom,6
4 AC+T,6
ACT-ADRIBLASTIN,6
"CDDP,",6
ACT *8CICLOS,6
CISPLATINA/TAXO,6
AC-DASTUZUMABE,6
AC +TOKUE,6
TAXOL128MG,6
TRASTU+PLACITAX,6
FAC_TAXOL,6
TAXOLSEMANALEHE,6
t - a,6
DOX+CIC+DOCE,6
TX/GZ,6
DC +DOCET,6
AC DOCEO,6
QUIMIOTERAPIA P,6
"GEMZAR, DOXORRU",6
"CICLO, DOCE,DOX",6
TC-HERCEPTIN,6
AC /TXT,6
Capec,6
TAXOLCICLO,6
AC +TXT- H,6
TXT /HERCEPTIN,6
DOCETAXEL+TZB+C,6
"DOCETAXEL, DOXO",6
AC+t,6
CARBOPLASTINA,6
AC (DOXO+CICLO),6
GEN ADR FLU,6
CMF-TRASTUZUMAB,6
ac tdj,6
DOCETAXEL500mg,6
AC /CERPTIN,6
ERCEP/DOC/CARBO,6
"IFOSFAMIDA, DOC",6
AC PACLITAX CAR,6
TAXOLHERPECPTIN,6
HERCEPTIM+PACLI,6
TRANSTU+DOCETAX,6
CICLOFOSFSAMI+D,6
ANASROZOL,6
DOCERASTUZUMAB,6
XELODA +ZOMETA,6
DOCETAXEL/GENCI,6
PACL+TRAST,6
DOCETA,6
ADRIAM/CICLOFOS,6
"XELODA, ZOMETA,",6
4AC+12TAXOL,6
A60C600,6
046-CLORIDRATO,6
DOXORRU/CICLOFA,6
HERCEPTN,6
Ciclo+Doxorrubi,6
TAXOL+ TRAST,6
TAMO+TRAS,6
"CARBO,CICLO,DOX",6
Ac/Doetaxel,6
FILGRASTIM/PACL,6
AC-T+REDIA,6
AC/ CBOTAXOL,6
CARBO+ PACILIT,6
DOCEERCEPTIN,6
"HERCEPTIN, AC-T",6
ADRIAMICINA/CIL,6
acx4+TXT+HERCEP,6
ARRASTRAZOL,6
CISPCAMP OSTAC,6
ADRIA+ CDDP,6
GENZAR=CISPLATI,6
I,6
DOXO+CICL,6
dOXORRUBICINA+c,6
AC6,6
ct-herceptin,6
GENZAR/CIS,6
AC seg de TXTT,6
AC taxol hercp,6
ANASTROZOL(006),6
TAG,6
DOXORR CICLOS,6
TRAST+PERTUZUMA,6
P/HER/DOCETAXEL,6
CICLO/OXO/TAGAM,6
TAXOL+HERCEPIN,6
"DOCETAXEL,TAXOT",6
capec+ pam,6
A-T,6
TRASTUZU/VINORE,6
AC 7,6
OCT/CB,6
CARB/TAX/DOX/CI,6
ac /tceptin,6
AC/taane,6
AC -TAX,6
04 AC+ 04 TAXO,6
AC+TXT+-HCPT,6
Carpoplatina+Do,6
TAMOXIFENO+GOSE,6
PACLITACEL HERC,6
CARBOPLATINATAX,6
DOXO+ LT,6
T/GENZAR,6
AC AC-PACLITAX,6
aC +txt,6
TAXOL/CARBO/TRA,6
AC-TCOMPLETO +,6
AC->T,6
EMBONATODETREPT,6
TXT 135,6
DOXETOXEL,6
GENZAR/CISPLATI,6
Paclitaxel+tras,6
TRANSTU+DOCE,6
CICLODOXO AC,6
HERCEPT/TAMOXIF,6
DOCETAXEL 130MG,6
TAXEOTERE/HERCE,6
FEC-PACLI,6
taxoleHerceptin,6
ACT -ODJ,6
HERCEPTIM/AC T,6
DOXO/CICLO/5FU,6
4T+4EC,6
ANAS1MG,6
TAXOLHERCEP,6
DOCETAXEL+GNK,6
DOX+CI+PL,6
Trastuuzmabe(14,6
"CDDP,GENCITABI",6
Carboplatina+Ci,6
AC  tAX,6
TCH(DOCETAXEL+C,6
PAC+TRAST,6
AC-TCMF,6
CDDP+GEN+HERC+P,6
HERC/TAXOL,6
GEMZAR/TAXOL,6
T.,6
ZOLA/TAMOX,6
T-FAC,6
BC+DOCI,6
ACT TRASTUZ,6
AC+PACLITACEL,6
DOCECARBO TRAN,6
PACLI/TAGAMET,6
CICLO/DOXO/TAGA,6
HERCEP+XELODA,6
CICLO/DOXO/,6
BC+DO,6
CICLOFO/DOCETAX,6
1,6
ac-doetexel,6
4AC/12TC,6
DAC/GRANULOKINE,6
QT+TRASTUZUMABE,6
DOXO/ICLO4AC,6
PaclitaxelAC,6
PACLITA CARBO,6
DOXORRU/CTD,6
TAXO+C+PAC,6
ADRI/CICLOFOSMA,6
TRANSTUZAMABE,6
TRANSTUZUMABE/A,6
DOCETAXEL+CPM,6
tc+herceptin,6
AC taxane,6
AC/TAXOTERE/HER,6
AC+TXT +- HCPT,6
LEUK,6
ac -txth,6
ac-->txt,6
ADRIA+ CTX,6
DCT/ZOLA/PAMIND,6
"AC, CARBO, VAD",6
A-D,6
AC-D+TRASTUZUMA,6
ACTH-ERCEPTIN,6
CTD/DOXORRUBICI,6
DOXORRUB/CTD,6
120PACLITXEL,6
C E 4CICLO DE,6
"EPIRRUBUCINA,CI",6
TRASTUZU,6
"CARBOPLATINA,",6
PACLITA DOXORU,6
TRASTU/DOCET/CA,6
CARBOPACLITA,6
DOCETA/CB,6
120PACLIAXEL,6
"DOC,CICL",6
DOXOCICLOFOS P,6
CTD/DOCE,6
AC ZOLEDRO/PACL,6
HERC+,6
Ciclo+Doxo+Taxo,6
CICLOSF,6
069DOCETAXEL+02,6
DOCECIC TRA 21,6
Ciclo+Doxo(0340,6
tchp,6
034CICLOFOSFAMI,6
TAMOXIFENO(037),6
DOCETXL/TRASTUZ,6
ACT TRAST,6
CISPLAGENCITABI,6
TA XOL,6
AC HERCEPTIN,6
COCLO+5FU+MET,6
DOXORU/CTD,6
QUIMIOTERAPIA12,6
DOXORRUBI,6
4 C/4CL TAXOL,6
DTX/CICLO,6
4AC/1TDOXOCICLO,6
028CAPECITABINA,6
CICLO+DOXORU,6
DOXOCICLO+NEO1,6
CARCINOMA DE MA,6
CICLO/DOCETAXEL,6
CTX DOXO,6
GZ+CIS,6
PCD,6
CDD/ADRIA,6
HPC/DOCE/CB,6
CTX DOCETAXEL,6
TAX+DOXO,6
4AC/XOCICL12T,6
"GENCIP (D1,8,15",6
EC III,6
TRASTUZ/PACLI,6
DOCETA CICLOSF,6
AET,6
ac- t,6
PACLTIAXEL+TRAN,6
ciclodoce,6
EAC+4T,6
TCH -TRANSTUZU,6
ACT /H,6
DOCE/CB,6
DOCECIC TRANS,6
"AC,FILGRASTIM",6
TAXOLHERCTIN,6
ZOLED/CICLO/FAR,6
AC+TAXO+TRASTUZ,6
FILG/CICLO/FOLI,6
DOXO/ICLOLCV5FU,6
4ac+doxo+ciclo+,6
4AC+4D,6
carbo/taxol,6
anastroxzol,6
DOCET+ CICLOFO,6
TAXOTERE+CICLO,6
TRAST/TAXOL/CAR,6
046DOXOEEUBICIN,6
DOX CIC PA TRAS,6
ACT DOX CIC PAC,6
ANASTROZOL+TCHO,6
AC -ANO,6
TC+HERCEPTIM,6
CTX+MTY+5FU,6
AC/FILGRASTIM,6
TRASTU/CARB/TAX,6
PACLITAXEL560mg,6
TRAST/CARB/DOCE,6
TAXOLSEQUEN,6
CISPLA/DOXO,6
FULVESTRA+ZOMET,6
DACTDOX CI PAC,6
DOCE/AC+TAXOL,6
TX+GZ,6
AC+MESNA,6
HERC+PACLI,6
CIS+GZ,6
FASLO,6
CMT CLASSICO,6
DOCETROL,6
DOCET/CTD,6
"AC, CARBO + TAX",6
CICLO+DOXO(0340,6
4AX+AT,6
4AC/XOCICLO,6
CICLO/DOXA/PACL,6
ACT +HERCEPTIN,6
TRASNT,6
ASC+TAXO+TRASTU,6
TAXOL+TRANS,6
ptx,6
DOCECARB TRANS,6
CARBOPACL TRAN,6
DOCETAXEL+ XELO,6
"Carboplatina, P",6
GENCITABINA + C,6
"DOCET, CICL",6
PCT/HCP,6
"CICL,",6
CAPECITA,6
LEUPRORRELINA-P,6
4C+4TXT,6
AC-T(ADRIBLASTI,6
AC+HERCETIN,6
CARBOPLAT+DOCE,6
AC/T/ADRIA/CT/T,6
XELODA\+ZOMETA,6
"GEMZAR / CDDP,",6
ZMT+NAVELBINE,6
ADRIBL/GENU/TAX,6
CICLO+ADRIAMICI,6
fac-txt,6
FAC+TxT + Herc,6
AC+Docetaxel+ H,6
FAC /TXT,6
CICLOFU,6
"FU,FARMO",6
CICLO+DOXU,6
DOCE/CB/TRAST,6
29.120,6
AC-TH0,6
AVELBI HERC,6
DOXOCICLOS TAX,6
Cloridrato de d,6
DOXORRUBIC+CICL,6
HHERCEPTIN+TMX,6
HERCEPTIN/ACT.,6
DOCE/TAXEL,6
ADRIA/CTX/TAXOL,6
AC/T/ADR/CTX/TA,6
"PACLITAXEL,CIC",6
TRASTUZU/PACLI,6
TRATUZIN MABI,6
CICLO+5FU+metro,6
AC -F,6
PACLICARB TRAS,6
PACLITAXELTRANT,6
FLUOROURACIL,6
AC/T-AD-CTX-TAX,6
TAXOL+HERCEOTIN,6
CARBO+TAXOL+ANS,6
CICLO+DOXI,6
TAXOLDOXO TAGA,6
GMZ +DTX,6
TX/CDDP,6
LETROZOL/HERCE,6
"CARBO,DOCETAXEL",6
PACLITAXEL SEM,6
fac +TXT,6
AC SEG DE DOCET,6
"AC-D,",6
"CICLOFOSF,",6
MODERAMENTE,6
46+34+145,6
ADRIBLASTI/GENU,6
DOX CIC PAC TRA,6
DOCET+CICLOF,6
AC/PLACCLITAXEL,6
AC PLACLITAXEKL,6
HER,6
TRAST+AC+CARB+P,6
CICLOFO+DOORRU,6
DOCECAR TRA PE,6
DOCETAXEL /CICL,6
CICLOFOSDAMIDA+,6
DOC CAR TRAS PE,6
CILOFOSFAMIDA,6
"PACLITAXEL,TRAT",6
TRASTU/DOC/CB,6
AC TH+HERCEPTIN,6
DOCETAXELTRATUZ,6
AC-PACLI+CA,6
TRAS/DCT/CARBOP,6
DOX CIC PACLI,6
DOXORRUBICINA+T,6
DOCECARB TRANT,6
CARBO+GENCITABI,6
4AV-12TH,6
CDDP/NAVELBINE,6
TAXOTERRE/CARBO,6
genzar,6
Ciclofosfmaida+,6
PACLITAXELTRASA,6
DOXORRUBINACICL,6
ADRI/GENUX/TAX,6
ZOLADEX+TMX,6
TRAS+CARBO+TAXO,6
CICLOS DOXORRU,6
DOXORRUBICINACF,6
LV+IRI+5-FU,6
ANASTROZOLACTH,6
PACLITAX/CARBOP,6
CICLOS DOCETA,6
EXE,6
DOCE/CFM,6
docetaxelcarbop,6
CICLO+METROXATE,6
AC/Doetaxel,6
CARBOPLATINA  C,6
"TRASTUZUMABE, A",6
AC+TAOL+HERCEPT,6
DOCET+DOXO+CTX,6
DOCETAX/AREDIA,6
Docetaxel+Ciclo,6
PACLITAX/TRASTU,6
AC+T(DOXORRUBIC,6
DOXORR/CICLOF,6
TRAZT/DOCE/CARB,6
HERCEPTIN/AC T,6
DOXO/CICLO/,6
DTX CICLO,6
AD TAXOL,6
CICLO/MTX/ZOMET,6
DOCE/ADRIA/CICL,6
AC+ TH,6
DOCETAXEL/GEMZA,6
DOCETAXEL/GRA,6
ACPD,6
CARBO/TAXOTER,6
C TX,6
t-ac,6
TRASTU/TAXOL/CA,6
DOCE/PACLITAXEL,6
HERCEP/CARBO/TX,6
AC+-TAXOL,6
AC- DECETAXEL,6
DOCETRASTU CAR,6
TAXOLHERCEPRIN,6
CICLOFOFAMIDA,6
TRAST/DOCET/CB,6
PACLIATXEL,6
DOCETAXEL ADRI,6
ADRIA CICLOFOS,6
"CISPLA,IFO,GRAN",6
TMT CLASSICO,6
CIS/GEMZAR,6
TAXAL,6
ct/he,6
PACLITAXEL+HECE,6
CICLA+ DOXO,6
DOXO/CILO/CLODR,6
TAXIL/CARBO,6
AC/PLACLITAXEL,6
HERCEPTIM/GEMZA,6
"TRAST, P",6
CICLOF +DOCE,6
CARBOPLATOMAPAC,6
DECECCARBTRA PE,6
MONOIDRATADA,6
AC (4+046+120),6
ANSATROZOL(011),6
TAXOL+CARBOPLA,6
TRAZ+LET,6
2FAC,6
CDDP/,6
GENUXAL ADRIA,6
Txt +,6
PACLITAXRL,6
CA+TAXOL,6
DOXO+CICL+PACI,6
"DOCET,AC,TRASTU",6
ACT PCT NEODJUV,6
HERCDEXA,6
ACT(ADRIB+CICLO,6
CARBOPLAT + PCT,6
ADRI/GENU/DOCE,6
DOC/CARBO,6
CICLO/METR/FLUO,6
PCT/DOXORRUBICI,6
DOXORRUBCICLOFO,6
AC+T+TAXOL,6
ADRIB/GENU/DOCE,6
FASLODEX (APAC),6
actr,6
GENCITABINI+CIS,6
46+34+120+133,6
DOCETAXOL/CARBO,6
CARB0/TAXOL,6
PCT/PAMIND.,6
C,6
EPI/CISP,6
AC-THNASTROZOL,6
ADRI/GEN/DOCE,6
TAXOL(PLACITAX,6
METOTREXATE,6
CARBO/DORCE,6
CARBODOCTAXEL,6
CICLO+PACLI,6
ADRIA/CISPLAT,6
FFC,6
AC-DOXO/CICLO,6
ACTHD,6
ACIDOZOLEDRONI,6
ACDOXO CICLOS,6
DOCETAXOLCICLOF,6
PACLITAXEL/ACID,6
AC- TAXOL/CARBO,6
TRASTUZUMBE,6
DOXO+PACLI,6
34+46+120+145,6
DOXO- CICLO -,6
PACLITAXEL/FIL,6
DOXO-CICLO-PACL,6
TXT 6,6
XELODA 500MG C,6
AC-TXERCEPTIN,6
"AC 100 MG, 1000",6
txtx3,6
QUIMIOTERAPIAPA,6
DOXOCI PAC CAR,6
trastuzumabepac,6
CICLO+5FU+METAT,6
PACLITACEL/CARB,6
4AC/4TAXOTERE,6
ADRIA=CICLO,6
ADRIB/GENU/TAX,6
CICLO+PACLITAXE,6
FMC,6
TAXOL+PLACITAXE,6
DTX CILCO,6
AXC+T,6
TRASTUDOCETACAR,6
PACLI+AC,6
AC (4+046),6
"AC 90,900",6
PRACTAXEL,6
"CISPL,TAGAMET",6
ECPI/CDDP,6
CICLODOXO GRAN,6
"CMF,GRANUL",6
ADRIB+GENUXAL,6
doxorubicina+ci,6
DOXURROBICINA,6
CICLO= DOXO,6
CICLOFOSFMIDA,6
PACLITAXELTASTR,6
PACLITAXEL120,6
ADRIBL/GEN/TAXO,6
PaclitaxelTrast,6
PACLIAXEL,6
DOXOCICLO PAC,6
doxorrubicinaHE,6
FLUORURACILA+OX,6
DOXOCI PAC,6
DOXOCIC PACLIT,6
ADRIA/GENZAR,6
TAC/ZOMETA,6
ADM+C,6
ADRIA/GENCI,6
AC TAG,6
PACLITAXE,6
92+46,6
CICLFOSFAMIDA,6
DOCETAXEL+CPX,6
CARBOTAXOL + TR,6
TXT+,6
AC +PACLIT,6
DCT/CTRASTUZUMA,6
GCT/PAMIN/ZOLA,6
DOCETAXEL / TA,6
HEMAX,6
PCT+CTX,6
AC-TADRI+CICLO,6
PAMIDRONATO,6
CARBOP,6
CARBO/PACLI/TRA,6
HERCEP+CAPECITA,6
CICLOSFOSFAMID,6
AC/TAOXOL,6
"DOCETAXEL, DEXA",6
EXEMES,6
DOXOCI PACT,6
DTX+CICLO,6
FAC->DOCETAXEL,6
"DOCET,TRASTUZU,",6
AC/;T,6
ADRIA+CICLO/TAX,6
DOXO/CICLOF,6
AC-T/XOCICLOF,6
AC DOXO CICLO,6
TAXOL+CARBO+XEL,6
AC-PLACITAXEL,6
doxorrubicinapa,6
PACLITACELTRAST,6
MAC,6
PAC¿ITAXEL,6
ADRIA/GENOXAL,6
CARBOPLA,6
GRANULOKINEAC,6
CAT+TAXO,6
AD CIC TRA PAC,6
"DOCETAXEL, TRAN",6
TRASTUZUMABA,6
AC PACLITA,6
PACLITAXEL+DDAC,6
CIS,6
A/C+T,6
FAC/,6
AC +TOKACI,6
GEMZAR + NAVEL,6
Z+T,6
DOCETAXOL/ADRIA,6
ADRIA/CIS/,6
FAC.,6
QUIMIOPACLITAXE,6
CARBOPLATINA/P,6
MAYO,6
CARBO/DPCETAXEL,6
CICLOFU DOXO,6
EPI/CIS,6
cac+4,6
"DOCET, CARB",6
INIBIDOR,6
XEL,6
TRASTUZUMABE+AC,6
Cliclofosdamida,6
CICLOFSFAMIDA+D,6
TAAXOL,6
ZMT+TAXL+CARBO,6
Carboplatina+pa,6
"AC,,PLACLI,HERC",6
ANASTR 1MG,6
DOXORRUBICINATA,6
4A+4T,6
AC/T.ADRIA+CICL,6
ac_dh,6
TRASTUZUMABEPAC,6
"ANAS,TRA",6
pacliatxeltrast,6
TH-TRASTUZU,6
ADRI+CICLOFOS,6
DOCE-CARBO,6
CARBO-PACLI,6
PACLITAXEL / C,6
DCT/CB+HCP,6
ZOMETA+ANAS,6
TAXO/CARBO,6
AC (Dxorrubicin,6
ac/taolhercep,6
CICLO+DOCE+TRAS,6
act-h,6
PLACLITAXEL,6
ADO/PCT,6
PACLIFEC,6
trastu+taxol,6
GRANULOKINE (FI,6
trast+doce+carb,6
CARBOPLATIBNAPA,6
4AC+4t,6
CTX/DOCETAXEL,6
Filgrastima+pac,6
ZMT+LETROZOL,6
TAX+CAR+PER+TRA,6
dct,6
DOXORRU/CICLO/T,6
DOXO/CICLO-TAXO,6
HERCEPTINZOMETA,6
AC--TAXOL,6
CTX+DOCE+FILG+T,6
AC +TAXOTERE,6
DH,6
"FAC-(FLUO+,DOX",6
4ACT/4T,6
TAXO/TRAS/CARBO,6
CARB/TAXO/TRAST,6
AC- DOCETAXEL,6
TAXO/TRASTU/CAR,6
AC-TAXO_FI,6
HERCOPTINTAXOL,6
4AACDD-12T,6
TAMOXIENO,6
CIS/TAXOL,6
CDDP/A,6
AC-T/LGRASTIMA,6
DOXXUBICINA+CIC,6
TRA+DOC+CA,6
DOXORRUBICINA+D,6
TRASTUDCTCBPERT,6
carboherceptin,6
AC-TRAS/PACL,6
DOC CARBO +TRA,6
ACT/TXOL,6
DCT/CTRASTU,6
DOCECARB TRAST,6
CAPECIT,6
GENUXGENUXAL,6
NCT,6
CIC +DOX,6
doxorrubicinaCI,6
CARBPACLI,6
ACTC,6
ADR+CIC+TRA PAC,6
"PACLI,TRAST,AC",6
DOCETACELCARBO,6
DOCE+CILCO,6
TMX+AXOL,6
XELODA\OSTAC,6
TAXOLADRI.,6
ZELODA/ANASTROZ,6
AC-Cabo+Taxol,6
DCT/CB + HCP,6
"DOCET, TRAS, CA",6
Ciflofosfmaida+,6
801440405137732,6
ACT+F,6
TAXOL/CARBO/ANA,6
DOXIRRUBICINACI,6
taxol+carbo,6
"TAXOL, GRANULOK",6
DOCETAXELCARBOH,6
PERJETA+CARBO,6
PACLITAXEX,6
CIC DOXO PAC TR,6
ANASTR+ZMT,6
PERJETA,6
T-ACoadjuva,6
ZMT+CARB+NAVEL,6
TAX+CAB+XEL+ZMT,6
AC/TAXOTER,6
DOXO+CIC,6
CARBOP +,6
3,6
PACLITRASTUZUMA,6
"PACL,AC TRAST",6
XELO+TRAS,6
TMX+ZOLADEX,6
HCP/AASTROZOL,6
TRATUZU+TAXOL,6
DOCE+CARB HERCE,6
Docetaxeltrastu,6
TRASTENT,6
"PLACLITAXEL,AC,",6
GZ/CISPLATINA,6
QAC+TAXOL,6
GRANULOKINE DO,6
TAXOFTAXOFEN,6
AC+4TAXOL,6
INIBIDOR SEMS,6
ZMT+FASLODEX,6
taxol+heraptin,6
CIC+DO+PAC,6
doxo/iclofosfam,6
4AC +4 TAXOL,6
ARIMIARIMIDEX,6
ADRIA/C,6
HER/TAXOL,6
DOCECARB TRAZ,6
DOCECIC,6
TrastuzumabeDoc,6
TC/AC,6
ZMT+NAVEL,6
AC+TAXO+CARB,6
GEMZAR+ZOMETA,6
CMFD1,6
AANSTROZOL,6
DOCETAXEL / TRA,6
T+C,6
"CMF,PACLITAXEL",6
FILGRASTRIN,6
AC -CAPECITABI,6
AACDD,6
DOCTAXEL,6
PACLICARBO,6
DOCECARBOTRANS,6
DOCE+CARD TRA,6
HERCEPTINPERJER,6
TAXOLGRANULOKIN,6
TRAST+CARB+DOCE,6
act/tastuzumabe,6
ZMT+FASL+LETRO,6
act/hrceptin,6
DOCECARBO TRAS,6
TAXOLGRANULOQUI,6
ACT/RCEPTIN,6
TR+DOC+CAR,6
TMX/HRCEPTN,6
AC/ANASTROZOL,6
TRASTU+CARB+DOC,6
ADRIAMICINA+TRA,6
ACTH-NASTROZOL,6
TAXOT/ADRIA/CIC,6
TAXOTERE/ADRIBL,6
AC+TAXOL+CARBOP,6
ACDD+CARBO+TAXO,6
AC-CICLOFOSF/DO,6
MF,6
AC-CICLOF/DOXOR,6
ATC,6
DOCETX+CARBO+HE,6
"DOXO,CICLO, TA",6
CISP+GENCI,6
CIC DOX PAC TRA,6
CICLOHERCEPTIN,6
DOCE+CARBO+TH,6
PACLICARBOPLATI,6
doxo/acli,6
DOXO+CICLO+TRA+,6
AC-THP,6
DOXO+TRASTUZUMA,6
"CARBO, CICLO",6
AC-CICL/DOXO/PA,6
CARBOPACLITAXE,6
DOXORUBICINA+CI,6
DOX+CICLO+TAXOL,6
doxorubicinacic,6
CISPLA+ GENCI,6
HCP/TMOX,6
TAXOL+HERCEPETI,6
DOXA+CI+PA+TRA,6
CMF D11,6
DOCITAXEL/CARBO,6
4 AC//4 T,6
DOXO+CTX+EPI,6
DOCE+CICLOFO,6
"A-C PACLITAXEL,",6
act+herceptin,6
PACITAXEL+HERCE,6
"CTX,GRANULOKIN",6
Paclitaxel+Filg,6
CICLOFOS+FILG,6
NAVEL+ZMT,6
PACLITAXELTRATU,6
"DOCET,TRAST,CAR",6
CARBOTAXO,6
CISPLATINA XEL,6
A/CIS,6
toxo,6
DOCE+CARBO+FILG,6
CICLO+BLEO+DOCE,6
CICLO+EPIRRUBIC,6
CARBO/DOCE/ZOME,6
"PACLITATEL,AC,T",6
"DOCET,TRASTUZ,C",6
TMX/TXOL,6
DOXORRUBICINA+O,6
6AC-T,6
CARBO+TXOL,6
FAC/HERCEP,6
AC-Taol+Carbopl,6
PACLIT/TRASTUZU,6
CICLO/ADRIAM,6
DOCE/HERECEPTIN,6
TRAN+DOC+C,6
CTX EOXO,6
"FAC,ACIDO ZOLE",6
CARBOTAXOL+AC,6
AC-Palitaxel,6
4T+GERCEPTIN,6
ACT+ERCEPTIN,6
FILG+PACLI,6
DOXO+ TAXOL,6
CDDP+DDP+ GEMZA,6
EPI+DOCETAXEL,6
A/CISPLATINA,6
ac=terceptin,6
4C/TAXOL,6
DOCETAXEL/PACLI,6
TAXOL/TRASTUZ,6
CT+H,6
TCHIP,6
ANAST+HERCEP,5
TXT AC,5
AC+DOXO+CICLO,5
TC -TAXOTERE +,5
DOCETAXEL+TTZ,5
TAXOL+TRAS,5
AC+HERCEP+TXT,5
"TRASTUZUMAB,TX",5
AC+FILGRAST,5
AC4+T4,5
AC: ADM+TXT,5
"FLUOUROURACIL,C",5
FEC-PACLITAXEL,5
DOXO+CTX+TAXOL,5
DOC+DOX+CICLO,5
"CARBO,",5
HERCEPTIM+AROMA,5
ac-txt+hcp,5
AC+txt+hecept,5
ACT+TRANST,5
DOXORRUB,5
"FASLODEX, HERCE",5
FAC (FLUO+DOXO+,5
CICLOFO+ADRI/TA,5
HERCEPTINDOCECA,5
FAC-D,5
FEC-DOCETAXEL,5
4 ACT,5
ACT*8CICLOS,5
"TAXOL, ACT",5
"AC /TAXOL, DOX",5
ac-tyxt,5
ACT(ADRI+CICLO+,5
AC+ PCT,5
DOXORCICLO,5
DOCE+ CARBO,5
